No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado
PL/10186/EXP/ES/2015,INMOBILIARIA CORSAL S.A. DE C.V.,Calzada de La Viga No. 1395,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.89
PL/10186/EXP/ES/2015,INMOBILIARIA CORSAL S.A. DE C.V.,Calzada de La Viga No. 1395,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.79
PL/1053/EXP/ES/2015,SÚPER SERVICIO DIAMANTE S.A. DE C.V.,Tolentino No. 10,Diésel,Diésel,$24.39
PL/1053/EXP/ES/2015,SÚPER SERVICIO DIAMANTE S.A. DE C.V.,Tolentino No. 10,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.79
PL/1053/EXP/ES/2015,SÚPER SERVICIO DIAMANTE S.A. DE C.V.,Tolentino No. 10,Gasolinas,Regular (con contenido menor a 92 octanos),$23.89
PL/10884/EXP/ES/2015,SAN LORENZO TEZONCO S.A. DE C.V.,Calzada San Lorenzo No. 1147,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.38
PL/10884/EXP/ES/2015,SAN LORENZO TEZONCO S.A. DE C.V.,Calzada San Lorenzo No. 1147,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.48
PL/10884/EXP/ES/2015,SAN LORENZO TEZONCO S.A. DE C.V.,Calzada San Lorenzo No. 1147,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/10897/EXP/ES/2015,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",Felix Cuevas No. 435,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/11028/EXP/ES/2015,OPERADORA DE MINIESTACIONES COMBUSERV S.A. DE C.V.,Avenida Javier Rojo Gomez No. 482,Diésel,Diésel,$24.99
PL/11028/EXP/ES/2015,OPERADORA DE MINIESTACIONES COMBUSERV S.A. DE C.V.,Avenida Javier Rojo Gomez No. 482,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.49
PL/11028/EXP/ES/2015,OPERADORA DE MINIESTACIONES COMBUSERV S.A. DE C.V.,Avenida Javier Rojo Gomez No. 482,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/1125/EXP/ES/2015,SERVICIO MARVIC S.A. DE C.V.,Calzada Ignacio Zaragoza No. 1350,Diésel,Diésel,$25.29
PL/1125/EXP/ES/2015,SERVICIO MARVIC S.A. DE C.V.,Calzada Ignacio Zaragoza No. 1350,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/1125/EXP/ES/2015,SERVICIO MARVIC S.A. DE C.V.,Calzada Ignacio Zaragoza No. 1350,Gasolinas,Regular (con contenido menor a 92 octanos),$23.69
PL/1140/EXP/ES/2015,EL PABELLÓN MEXICANO S.A. DE C.V.,Canal de San Juan No. 6,Diésel,Diésel,$24.23
PL/1140/EXP/ES/2015,EL PABELLÓN MEXICANO S.A. DE C.V.,Canal de San Juan No. 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.32
PL/1140/EXP/ES/2015,EL PABELLÓN MEXICANO S.A. DE C.V.,Canal de San Juan No. 6,Gasolinas,Regular (con contenido menor a 92 octanos),$23.41
PL/1144/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Calzada de La Viga No. 1112,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/1144/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Calzada de La Viga No. 1112,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.29
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.59
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.59
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.59
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.59
PL/1156/EXP/ES/2015,SERVICIO GASOLINERO XOLA S.A. DE C.V.,Boulevard Xola Eje 4 Sur No. 1403,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99
PL/1230/EXP/ES/2015,SERVICIO VÍCTOR HUGO S.A. DE C.V.,Víctor Hugo No. 152,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/1230/EXP/ES/2015,SERVICIO VÍCTOR HUGO S.A. DE C.V.,Víctor Hugo No. 152,Gasolinas,Regular (con contenido menor a 92 octanos),$24.79
PL/1230/EXP/ES/2015,SERVICIO VÍCTOR HUGO S.A. DE C.V.,Víctor Hugo No. 152,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
